Title Topic: StarCraft II: Wings of Liberty,
"
At the top of the page is a topic title. In the left column below, there are several topics that are related to the title topic in some way. 

What I need from you is to choose around 20 of the topics in the list below and indicate if it would be better to learn about that topic before or after you learn about the title topic.
indicate your answer in the column to the right (Before/After). It would also be helpful if your labels were relatively balanced, but not totally a requirement. 
(you are also welcome to do more than 20 if you like)
 
You will likely run into topics where it will be hard to decide. Choose just those topics you are most sure should come before or after.

Please don't spend more than 5 minutes on this! I don't want to take too much of anyone's time.

Thank you!",
Topic,Before/After
StarCraft II: Heart of the Swarm,after
StarCraft (video game),before
StarCraft: Remastered,
StarCraft II: Nova Covert Ops,
StarCraft: Brood War,before
StarCraft II: Legacy of the Void,after
Warcraft III: Reign of Chaos,
StarCraft II: Wings of Liberty,after
Diablo II,
Diablo III,
Heroes of the Storm,
StarCraft: Ghost,
Warcraft III: The Frozen Throne,
World of Warcraft,
Diablo II: Lord of Destruction,
World of Warcraft: Cataclysm,
Defense of the Ancients,
Hearthstone,
The Lost Vikings 2,
World of Warcraft: Mists of Pandaria,
Diablo (video game),
StarCraft: Insurrection,
Blackthorne,
Universe at War: Earth Assault,
Toy Soldiers (video game),
Overwatch (video game),
The Lost Vikings,
Final Fantasy XIV (2010 video game),
StarCraft: The Board Game,
Jim Raynor,after
List of StarCraft media,after
Races of StarCraft,before
Characters of StarCraft,
Tahira: Echoes of the Astral Empire,
M.U.L.E.,
Real-time strategy,before
StarCraft,before
Diablo Immortal,
List of Blizzard Entertainment games,
Revelation Online,
JASS,
Blizzard Entertainment,before
Warcraft,before
Metacritic,
List of games using Havok,
List of real-time strategy video games,
Expansion pack,after
Psychic,
Activision,before
Index of Windows games (S),
StarCraft II World Championship Series,after
Local area network,
StarCraft II in esports,after
StarCraft in esports,after
Sequel,
IGN,
Planet,
BlizzCon,after
Battle.net,before
2018 StarCraft II World Championship Series,after
Chris Metzen,
Global StarCraft II League,after
Rob Pardo,
2014 StarCraft II World Championship Series,after
2013 StarCraft II World Championship Series,after
2015 StarCraft II World Championship Series,after
Russell Brower,
2017 StarCraft II World Championship Series,after
StarCraft II StarLeague,after
2016 StarCraft II World Championship Series,after
Global StarCraft II Team League,
StarCraft II Proleague,after
Grubby,
Park Sung-joon (video game player),
"Park ""Lyn"" June",
KeSPA Cup,
Jang Jae-ho,
Warcraft III in esports,
MaDFroG,
Lee Jae-dong,
Won Lee-sak,
Life (gamer),
Jonathan Walsh,
Jang Min-chul,
Joona Sotala,
Korea StarCraft League,
ToD,
Kim Yoo-jin (video game player),
World Electronic Sports Games,
MPQ (file format),
Sarah Kerrigan,
HuK,
Scarlett (video game player),
2012 StarCraft II World Championship Series,
Asteroid,
Overwatch World Cup,
South Korea,
Overwatch Contenders,
IdrA,
Infi,
Intel Extreme Masters,
